,Transformation parameter epsilon,RMS CML IM-III,Parameter A,Parameter tau,Parameter C,Parameter alpha,Inverse parameter A,Inverse parameter gamma,Inverse parameter C,Inverse parameter alpha
159,0.0588143959388287,0.1437206405958891,0.0016942842192907968,-51.150885787331646,0.9998690262836917,0.06774629141849074,0.0016942842192907968,-51.150885787331646,0.9999935970001109,0.06774629141849074
160,0.059179702745902174,0.1439153200576819,0.0014954272106177484,-52.9569911295001,0.9998839029534077,0.06776354609505147,0.0014954272106177484,-52.9569911295001,0.9999947387168249,0.06776354609505147
161,0.05954500955297564,0.1439828345110811,0.0012000108094162847,-56.17344062458771,0.9999064422665979,0.06777952512404636,0.0012000108094162847,-56.17344062458771,0.9999960627156126,0.06777952512404636
162,0.059910316360049114,0.14430729471671375,0.0021343005867394886,-47.65937566669816,0.9998328978504891,0.06779079983960493,0.0021343005867394886,-47.65937566669816,0.9999934161594404,0.06779079983960493
163,0.06027562316712259,0.14433592344517657,0.001579449566311646,-52.0764341187193,0.9998758294924334,0.06780086967476881,0.001579449566311646,-52.0764341187193,0.9999954919902303,0.06780086967476881
164,0.06064092997419605,0.14449671977054476,0.001892317021474066,-49.39190982638053,0.9998506163067832,0.06781152469357825,0.001892317021474066,-49.39190982638053,0.999994983719254,0.06781152469357825
165,0.06100623678126953,0.14461302228176173,0.0017583860844527742,-50.4518635218786,0.9998606220042389,0.06782181694181,0.0017583860844527742,-50.4518635218786,0.9999957365594986,0.06782181694181
166,0.06137154358834299,0.14468699148090317,0.0015872720940304503,-51.93305516661103,0.9998736651858313,0.06783726106652105,0.0015872720940304503,-51.93305516661103,0.999996527172301,0.06783726106652105
167,0.061736850395416466,0.14510223696583277,0.0028030942206914078,-43.534992946455205,0.9997759805914775,0.06784542554367438,0.0028030942206914078,-43.534992946455205,0.9999944099903747,0.06784542554367438
168,0.06210215720248993,0.1448730717680905,0.0010772787203626986,-57.588483391292385,0.9999135569710342,0.06786445653458727,0.0010772787203626986,-57.588483391292385,0.9999981694725354,0.06786445653458727
169,0.062467464009563406,0.14504006822216275,0.0008586029526336073,-60.89705911162713,0.9999308241470106,0.06787949086994326,0.0008586029526336073,-60.89705911162713,0.9999987704966086,0.06787949086994326
170,0.06283277081663688,0.1453161340000595,0.0015777050931616082,-51.920966527100994,0.9998723809912297,0.06788538973166586,0.0015777050931616082,-51.920966527100994,0.9999980463581372,0.06788538973166586
